titulo,url,zona,precio,superficie,habitaciones,alquiler_mensual
Piso reformado junto al metro con ascensor,https://www.habitaclia.com/ejemplo-1,Barcelona,235000,75,3,1150
Ático para reformar con terraza,https://www.habitaclia.com/ejemplo-2,Barcelona,198000,68,2,
Piso exterior con garaje en buen estado,https://www.habitaclia.com/ejemplo-3,Barcelona,180000,72,3,1080
Piso amplio y luminoso exterior,https://www.idealista.com/ejemplo-4,Madrid,290000,95,3,1400
Piso para reformar con mucha luz,https://www.idealista.com/ejemplo-5,Madrid,240000,90,3,1300
Piso reformado con garaje y trastero,https://www.idealista.com/ejemplo-6,Madrid,320000,100,4,1500
Estudio céntrico interior,https://www.idealista.com/ejemplo-7,Madrid centro,165000,42,1,
Piso con plaza de garaje,https://www.fotocasa.es/ejemplo-8,Sevilla,142000,88,3,780
Piso reformado en el centro con ascensor,https://www.fotocasa.es/ejemplo-9,Sevilla,130000,80,3,760
Vivienda a reformar con terraza,https://www.fotocasa.es/ejemplo-10,Valencia,120000,80,3,720
Piso exterior reformado con garaje,https://www.fotocasa.es/ejemplo-11,Valencia,140000,85,3,760
